x,y,z,role_id
-17.679102,-13.144072,-3.1609192,11
2.1522136,5.2583356,5.212065,11
20.73001,-9.178691,3.756679,11
-10.280849,-9.452258,-3.744233,11
23.84476,11.19039,2.4651902,11
5.7783656,10.579673,10.894697,11
-6.5210485,6.6034527,-5.6219263,11
2.6381638,-3.945381,14.251747,11
-16.192513,-7.2426906,-21.955292,11
2.134788,14.120895,9.323418,11
11.849226,13.546313,20.524754,11
14.608113,-8.010594,9.930449,11
12.790982,12.311939,2.8379347,11
-20.238316,18.296053,6.4935746,11
20.83193,6.8411317,12.893853,11
21.926556,10.306468,0.73447824,11
20.356152,3.2666776,8.624833,11
-9.551899,-8.130961,-25.189278,11
11.674342,11.261863,1.8358524,11
2.9071841,2.3846524,-13.678769,11
21.403326,-8.469696,4.9522247,11
13.887936,1.7618749,7.3685966,11
-7.1364145,2.6445603,-13.768751,11
-26.004412,-1.2765167,7.3364773,11
12.17996,-7.6139894,13.201385,11
24.897808,5.332448,-5.668025,11
20.83193,6.8411317,12.893853,11
-10.997986,-8.714491,-2.7971308,11
1.0577843,-6.3757253,11.730581,11
14.602384,1.1677049,6.4971733,11
10.558647,12.258994,4.237468,11
-3.9926026,4.1501093,-7.2852917,11
19.745779,4.3446136,14.91658,11
-9.335317,2.6245341,-4.510577,11
-10.072254,-9.270095,-15.507014,11
-15.642484,-12.404606,-17.881426,11
-14.648901,15.860519,4.2474384,11
-15.300397,-12.219153,-2.9193544,11
-16.552513,-1.9368004,-15.501318,11
18.59813,9.755017,10.885885,11
8.955306,14.105649,5.3548427,11
10.41605,13.728831,19.322235,11
2.924535,-1.8766398,19.565645,11
-4.6891804,12.396407,22.712124,11
13.388706,-6.406557,-15.635238,11
3.0071182,3.0580254,4.502403,11
-17.467833,-10.530732,-2.7134926,11
12.064493,-6.478686,-15.9211645,11
18.090658,2.2455986,15.571455,11
20.83193,6.8411317,12.893853,11
-26.98572,-0.49645436,7.7488904,11
-18.54648,-14.290635,-5.465551,11
-16.966848,-12.872808,-6.482663,11
16.952747,-3.9157736,15.798895,11
-26.833462,14.583648,-4.637573,11
-26.228033,15.075079,-6.541178,11
16.952747,-3.9157736,15.798895,11
14.997362,2.1060994,16.868996,11
11.733363,-7.6546707,8.7281685,11
-26.833462,14.583648,-4.637573,11
20.83193,6.8411317,12.893853,11
-25.393812,13.459465,-5.5858903,11
-5.8757234,13.411742,-22.54968,11
17.12062,-6.0119452,16.31472,11
17.04078,-0.46483913,15.620588,11
34.26992,-0.8330924,15.815025,12
34.49727,-2.860769,11.616833,12
34.26992,-0.8330924,15.815025,12
34.26992,-0.8330924,15.815025,12
34.26992,-0.8330924,15.815025,12
34.49727,-2.860769,11.616833,12
36.420387,1.3330555,12.281568,12
34.49727,-2.860769,11.616833,12
34.26992,-0.8330924,15.815025,12
34.26992,-0.8330924,15.815025,12
34.26992,-0.8330924,15.815025,12
36.420387,1.3330555,12.281568,12
34.26992,-0.8330924,15.815025,12
34.26992,-0.8330924,15.815025,12
34.49727,-2.860769,11.616833,12
34.26992,-0.8330924,15.815025,12
34.49727,-2.860769,11.616833,12
-17.431768,18.821203,7.398206,12
-17.431768,18.821203,7.398206,12
34.26992,-0.8330924,15.815025,12
34.26992,-0.8330924,15.815025,12
34.26992,-0.8330924,15.815025,12
34.26992,-0.8330924,15.815025,12
34.49727,-2.860769,11.616833,12
34.26992,-0.8330924,15.815025,12
34.49727,-2.860769,11.616833,12
34.26992,-0.8330924,15.815025,12
34.26992,-0.8330924,15.815025,12
