,x,y,z,role
392,-3.8921876,11.810997,4.1924295,Marketing & Communications
393,-12.119533,-10.501602,-9.433033,Marketing & Communications
394,-18.590847,9.260523,5.2391067,Marketing & Communications
395,-10.102734,3.5246234,-7.276929,Marketing & Communications
396,14.785106,7.6916785,6.3837256,Marketing & Communications
397,10.186305,-20.07666,-14.5175295,Marketing & Communications
398,-22.624424,-3.1086059,-1.6452584,Marketing & Communications
399,15.332533,18.819498,7.0578003,Marketing & Communications
400,12.801287,7.583584,-0.2511732,Marketing & Communications
401,11.419156,17.46293,12.825659,Marketing & Communications
402,7.4293065,-0.105739966,-8.222128,Marketing & Communications
403,14.398773,10.141422,4.2296295,Marketing & Communications
404,-9.849092,-8.091839,-15.58797,Marketing & Communications
405,8.462183,-3.867477,19.88595,Marketing & Communications
406,-3.388648,-2.4405801,13.463181,Marketing & Communications
407,14.017361,2.2755477,12.735132,Marketing & Communications
408,-7.248524,-3.412624,-7.3689528,Marketing & Communications
409,0.76285636,1.1317052,19.463306,Marketing & Communications
410,14.012253,1.345905,14.563539,Marketing & Communications
411,-8.554468,13.392971,-6.265686,Marketing & Communications
412,2.487866,-25.077948,-10.183308,Marketing & Communications
413,-18.664862,5.234683,0.27186626,Marketing & Communications
414,-12.119533,-10.501602,-9.433033,Marketing & Communications
415,11.909477,13.093737,4.2162924,Marketing & Communications
416,-0.28934112,2.7754345,13.145462,Marketing & Communications
417,-30.826437,12.41271,-0.567182,Marketing & Communications
418,6.7948103,24.186394,5.441574,Marketing & Communications
419,25.237505,14.3547125,1.7999378,Marketing & Communications
420,-13.102607,4.5209007,2.0206015,Marketing & Communications
421,-15.7211,5.823462,12.381618,Marketing & Communications
422,8.553916,-23.503885,-15.9828415,Marketing & Communications
423,-10.486405,-5.9589376,-14.210639,Marketing & Communications
424,11.407854,13.508451,15.836244,Marketing & Communications
425,4.6449847,-20.427341,-9.082311,Marketing & Communications
426,10.274916,-4.755038,15.945605,Marketing & Communications
427,3.3041463,-13.067228,30.179388,Marketing & Communications
428,-1.2689141,-2.9666476,-14.349536,Marketing & Communications
429,11.889954,17.869963,17.302881,Marketing & Communications
430,14.017361,2.2755477,12.735132,Marketing & Communications
431,7.4396753,4.824704,18.954683,Marketing & Communications
432,-8.907276,15.953994,16.755476,Marketing & Communications
433,11.989453,15.825684,12.746068,Marketing & Communications
434,-2.4374554,13.902817,9.190677,Marketing & Communications
435,-9.451788,-11.44919,-8.197765,Marketing & Communications
436,-10.620924,-12.988777,-7.1649857,Marketing & Communications
437,-19.000156,14.445474,-1.4658066,Marketing & Communications
438,20.297646,-2.7486506,9.785116,Marketing & Communications
439,10.300517,16.142687,12.949615,Marketing & Communications
440,-3.0985844,14.102576,5.6936803,Marketing & Communications
441,1.7418809,2.0096037,12.200507,Marketing & Communications
442,10.859073,5.915203,9.284666,Marketing & Communications
443,-10.352675,-11.415567,-10.879523,Marketing & Communications
444,0.4636649,-1.1141024,9.580346,Marketing & Communications
445,18.233002,-4.1753435,9.520177,Marketing & Communications
446,-5.4276896,-0.3156983,-10.374455,Marketing & Communications
447,-1.074862,0.71981055,14.135304,Marketing & Communications
448,13.082854,17.713526,7.542802,Marketing & Communications
449,-4.2079773,13.348064,6.827781,Marketing & Communications
450,-1.428723,14.999024,8.194331,Marketing & Communications
451,-5.052183,10.527834,11.786092,Marketing & Communications
452,-12.04447,-13.082422,-9.666853,Marketing & Communications
453,6.2937627,7.358947,4.999934,Marketing & Communications
454,-8.943511,3.271161,-7.7904406,Marketing & Communications
455,12.255807,8.615196,-0.616629,Marketing & Communications
456,11.123147,16.80195,7.9185596,Marketing & Communications
457,7.4478416,-18.121893,-10.141101,Marketing & Communications
458,-1.9549655,-0.006136783,-8.991049,Marketing & Communications
459,-20.933321,11.742474,1.4600487,Marketing & Communications
460,-6.907917,-11.504094,-10.092715,Marketing & Communications
461,-22.367018,-2.006968,-1.2499537,Marketing & Communications
462,10.274916,-4.755038,15.945605,Marketing & Communications
463,-9.764605,17.122454,-20.145014,Marketing & Communications
464,10.859073,5.915203,9.284666,Marketing & Communications
465,14.398773,10.141422,4.2296295,Marketing & Communications
466,14.398773,10.141422,4.2296295,Marketing & Communications
467,-30.826437,12.41271,-0.567182,Marketing & Communications
468,15.997412,-6.6379304,-2.092049,Marketing & Communications
469,-30.826437,12.41271,-0.567182,Marketing & Communications
470,26.286518,4.5079274,20.027317,Marketing & Communications-Intern
471,29.712433,6.964213,19.135519,Marketing & Communications-Intern
472,29.712433,6.964213,19.135519,Marketing & Communications-Intern
473,29.712433,6.964213,19.135519,Marketing & Communications-Intern
474,26.286518,4.5079274,20.027317,Marketing & Communications-Intern
475,29.712433,6.964213,19.135519,Marketing & Communications-Intern
476,26.286518,4.5079274,20.027317,Marketing & Communications-Intern
477,26.286518,4.5079274,20.027317,Marketing & Communications-Intern
478,29.712433,6.964213,19.135519,Marketing & Communications-Intern
479,29.712433,6.964213,19.135519,Marketing & Communications-Intern
480,29.712433,6.964213,19.135519,Marketing & Communications-Intern
